salesforce_account_id,account_name,uc_dollars,non_uc_dollars,total_dollars,uc_pct,total_dbus
0018Y00002kwruVQAQ,Visit Britain,13912.67,3443.34,17356.01,80.2,60553.79
0018Y00002fpa5vQAA,more2,6737.91,10532.82,17270.73,39.0,49785.13
00161000005eObsAAE,Barclays Bank PLC,5627.51,11502.56,17130.08,32.9,188393.74
0014N00001nflLOQAY,Arsenal FC,10718.01,6384.09,17102.11,62.7,45489.05
0014N00001tQNH2QAO,TVS Motor Company,10946.53,6144.47,17091.0,64.0,45149.77
0016100001TPKd8AAH,Redgate Software,13834.44,3081.33,16915.77,81.8,31300.56
0014N00001iGp87QAC,Egress Software Technologies,0.0,16909.68,16909.68,0.0,70401.69
001Vp000005MFk0IAG,Equiti Capital,9132.72,7772.16,16904.88,54.0,45856.66
0014N00001g8nUGQAY,EY UK,0.0,16810.31,16810.31,0.0,97632.22
0018Y00002zJ1FqQAK,Low Carbon Contracts Company,0.0,16544.38,16544.38,0.0,56079.83
0018Y000031DnQdQAK,Airband,5422.49,11064.68,16487.17,32.9,24983.78
0013f000008oxLiAAI,Space NK,13526.34,2849.36,16375.71,82.6,41148.69
0018Y00002m4e5jQAA,Exinity,10772.94,5460.19,16233.14,66.4,43021.52
0016100001arxpqAAA,Access Bank,0.0,16126.76,16126.76,0.0,36278.25
0018Y00002fpp0aQAA,Notting Hill Genesis,7271.42,8786.21,16057.63,45.3,58433.9
0016100001dRGSEAA4,Tata Steel Netherlands B.V.,0.0,16008.09,16008.09,0.0,39547.03
0013f000009eUNaAAM,Leeds Building Society,11680.83,3934.15,15614.98,74.8,128215.47
0018Y00003492rYQAQ,IQUW Syndicate Management Limited,11204.67,4199.19,15403.87,72.7,85219.34
0014N00002D93z3QAB,PIB Group,458.24,14716.21,15174.45,3.0,49959.55
0016100001TPKp4AAH,Berkeley Research Group LLC,1620.66,13504.91,15125.57,10.7,155286.38
0013f0000063sIfAAI,Department for Health and Social Care,10223.94,4612.25,14836.19,68.9,31956.92
001Vp000009CNbdIAG,Assosia,7880.56,6938.02,14818.57,53.2,40777.48
0016100001XnZsSAAV,Vinci,11215.93,3476.92,14692.85,76.3,32016.02
0013f00000Aid8FAAR,Office of Rail & Road UK,7154.69,7125.98,14280.67,50.1,19073.06
0016100001E0872AAB,TalkTalk,9432.0,4766.89,14198.89,66.4,54574.42
001Vp000004uaF1IAI,Peabody,8878.59,5277.56,14156.15,62.7,25604.16
001Vp00000391heIAA,Lloyds Clinical,11355.76,2754.57,14110.33,80.5,73839.84
001Vp00000VoKPtIAN,McQueens Dairies,9421.8,4489.3,13911.1,67.7,38421.59
0014N00001nfDqXQAU,Amey,9717.66,4027.89,13745.55,70.7,29379.15
0016100001DwjhvAAB,Met Office,0.0,13704.56,13704.56,0.0,46102.65
0016100001WoQflAAF,AlixPartners LLP,8178.01,5403.84,13581.85,60.2,20200.39
0018Y00002o0QlbQAE,Verastar LTD,10598.84,2900.42,13499.26,78.5,29953.06
0014N00001g7CmxQAE,The AA,11658.57,1796.66,13455.23,86.6,177344.67
001Vp000001SttvIAC,Supporting Education Group,4339.04,9100.57,13439.61,32.3,29854.03
001Vp00000GqC8kIAF,eastmidlandsrailway.co.uk,9349.39,3892.55,13241.95,70.6,17325.67
0016100001fQQO5AAO,Ministry of Housing  Communities and Local Government (MHCLG),9029.94,4089.21,13119.16,68.8,85659.95
0014N00001wsCCAQA2,The British Red Cross Society,8796.28,4262.75,13059.04,67.4,26567.23
0016100001D74F2AAJ,Home Office UK,0.0,12844.33,12844.33,0.0,45536.19
0016100001XnYSpAAN,Everest,2824.01,9716.17,12540.18,22.5,140990.58
0018Y00002vRDPrQAO,Royal National Lifeboat Institution (RNLI),6066.76,6239.49,12306.25,49.3,25225.39
0013f000009fvcJAAQ,1E Limited,7763.09,4455.28,12218.37,63.5,26781.82
0016100001H6kFmAAJ,Scottish Water,0.0,12138.01,12138.01,0.0,31682.35
0013f000005Sh7VAAS,Ceta Insurance,3472.28,8576.73,12049.01,28.8,39431.18
0016100001H4PLLAA3,Ministry of Justice - MoJ - (UK),179.29,11411.01,11590.29,1.5,45675.69
0014N00001tMv1pQAC,Manchester United,8209.13,3369.98,11579.12,70.9,48535.55
0013f0000042iKHAAY,Avanade NL,5852.62,5619.9,11472.52,51.0,85129.94
0018Y0000347JbKQAU,The Associated Board of the Royal Schools of Music,0.0,11427.35,11427.35,0.0,22968.1
001Vp0000016m6NIAQ,OCU Group Limited,6724.7,4610.18,11334.89,59.3,27804.39
0013f00000434TSAAY,Commify,7054.16,4035.77,11089.93,63.6,27254.37
0018Y0000348g7jQAA,Cult Wines,6774.31,4234.56,11008.88,61.5,61049.14
0016100001cfkwLAAQ,Brightwell Pensions,3961.75,6871.38,10833.12,36.6,31182.85
0013f000009eUZgAAM,Our Future Health,5788.89,4932.72,10721.61,54.0,48694.57
0013f000005Qa0mAAC,Freshfields,7638.57,2890.35,10528.92,72.5,32416.12
0016100001DzUR6AAN,Anglian Water Services,1148.85,9345.68,10494.54,10.9,51477.3
0014N000025gtgdQAA,Retail-Insights EMEA,9721.75,676.76,10398.52,93.5,22275.7
0018Y00002m54CpQAI,ClubSpark,0.81,10386.04,10386.85,0.0,21492.26
001Vp000004HCU6IAO,advania.co.uk,6218.16,4121.2,10339.36,60.1,14366.13
001Vp0000095nr2IAA,MAXIMUS UK SERVICES LIMITED,1973.49,8316.13,10289.63,19.2,18377.75
0013f000009g6seAAA,ZigZag Global Ltd,7791.9,2280.65,10072.55,77.4,44661.72
0016100001H6kAtAAJ,Good Energy,6526.38,3511.42,10037.8,65.0,25572.29
0016100001EzKTUAA3,Telefónica Tech (UK),2813.77,7212.75,10026.52,28.1,46035.41
0018Y000031Ch2VQAS,Whittard of Chelsea,7995.42,1984.03,9979.45,80.1,24885.99
001Vp000008RJwpIAG,Un:Hurd,4487.24,5470.34,9957.58,45.1,18155.83
0018Y0000348BrAQAU,PetroStrat Ltd,5390.82,4548.92,9939.74,54.2,21781.51
0016100001H6kvNAAR,Stena,5271.07,4647.0,9918.08,53.1,15699.56
001Vp000006hMwJIAU,Vivid Housing,6848.01,2837.3,9685.31,70.7,32961.47
0016100000UNXrEAAX,Ryan,2410.33,7235.62,9645.95,25.0,32112.09
0013f000005SaFOAA0,The Crown Estate,2198.25,7427.61,9625.86,22.8,51143.3
0018Y00002qRmqAQAS,Castle Water Ltd,0.0,9615.35,9615.35,0.0,33271.1
