salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
001Vp000004D2odIAC,PEGO LIMITED,2,51883.21,22255.75
0018Y000036faI7QAI,Datapharm,6,51757.95,6972.33
0013f000005SaFOAA0,The Crown Estate,8,51140.77,9625.28
0014N00001nfkoYQAQ,Capquest,4,50755.51,18685.13
0014N00002D93z3QAB,PIB Group,3,49959.55,15174.45
0018Y00002fpa5vQAA,more2,16,49785.13,17270.73
0018Y00002yHgxWQAS,Premfina,7,48768.04,23485.25
0013f000009eUZgAAM,Our Future Health,24,48677.68,10716.97
0014N00001tMv1pQAC,Manchester United,7,48535.55,11579.12
0016100001E08I6AAJ,Southern Water,8,48388.14,4536.13
001Vp00000Pm8EbIAJ,Ergo Travel (UK),3,48067.58,861.0
001Vp00000456iRIAQ,Inizio Health,9,47838.94,6791.65
0013f000008p5ERAAY,PwC México,3,47501.87,9351.41
0013f00000642xpAAA,Pladis Global,5,47197.17,7748.33
0018Y00002fqNnRQAU,Humber Teaching NHS Foundation Trust,3,46610.18,8711.16
0016100001DwjhvAAB,Met Office,6,46102.65,13704.56
001Vp000005MFk0IAG,Equiti Capital,4,45856.66,16904.88
0016100001H4PLLAA3,Ministry of Justice - MoJ - (UK),16,45599.73,11564.67
0016100001D74F2AAJ,Home Office UK,10,45536.19,12844.33
0014N00001nflLOQAY,Arsenal FC,5,45489.05,17102.11
0014N00001tQNH2QAO,TVS Motor Company,2,45149.77,17091.0
001Vp00000OxStiIAF,MICHELDEVER GROUP LIMITED,4,44732.12,4500.47
0018Y00002scE6lQAE,DELOITTE LLP,7,44695.42,7952.06
0013f000009g6seAAA,ZigZag Global Ltd,2,44661.72,10072.55
0016100001TPJZOAA5,Veeam,1,44191.85,9552.38
0014N000027OvJRQA0,Persimmon Homes,4,43508.4,3454.5
0013f000009gXbyAAE,Skan.ai,1,43183.7,20712.87
0018Y00002m4e5jQAA,Exinity,2,43021.52,16233.14
0016100001SRyJrAAL,Proquire LLC,33,41396.22,15473.86
0016100001DzUR6AAN,Anglian Water Services,9,41229.3,10494.54
0013f000008oxLiAAI,Space NK,7,41148.69,16375.71
0013f000004SaCHAA0,Domino's Pizza UK & Ireland Ltd,7,41080.55,7944.53
0016100001TPKblAAH,Norton Rose Fulbright LLP,6,40984.28,769.82
0018Y00002nIE5hQAG,Codat,2,40884.7,19996.14
001Vp000009CNbdIAG,Assosia,3,40681.13,14763.49
