salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
0016100001F1bGbAAJ,Capita Plc,19,16208.9,3763.61
0018Y00002yEfycQAC,Leeds City Council,7,15739.97,7444.15
0016100001H6kvNAAR,Stena,1,15699.56,9918.08
0013f000005ScCYAA0,C. Hoare & Co.,4,15661.34,6230.17
0014N00001iGaOwQAK,Pollinate International,9,15601.81,3641.62
001Vp00000I4XpSIAV,DALCOUR MACLAREN LIMITED,3,15276.33,3081.56
001Vp00000ALOMXIA5,Sphere Entertainment Co.,1,15222.64,3126.24
0016100001XnY02AAF,Ipsos,2,15114.07,6376.68
0016100000gLdzsAAC,Accenture (HQ),3,15068.78,7923.22
0014N00001g86bXQAQ,Tata Consultancy Services Limited,7,14894.4,4717.29
0014N00001nfk5dQAA,Cundall,4,14859.07,723.85
001Vp00000LM5EgIAL,NATIONAL GAS TRANSMISSION PLC,3,14704.71,6697.44
0013f00000AhoO7AAJ,Simply Asset Finance,1,14677.88,4241.91
001Vp0000033XCOIA2,CIRCYL LIMITED,27,14449.94,5629.77
0013f000005STgmAAG,Calastone,26,14416.32,3527.16
0018Y00002seeiiQAA,Solent NHS Trust,6,14409.16,2268.69
001Vp0000033aFOIAY,thought-train.co,25,14405.19,3452.07
001Vp000004HCU6IAO,advania.co.uk,3,14357.39,10334.81
0018Y00002sd2nNQAQ,Irwin Mitchell LLP,9,14215.16,3358.24
001Vp00000395LUIAY,Fintru Limited,5,14026.36,7192.39
001Vp0000054kXdIAI,NEBOSH,8,14009.17,2618.85
001Vp00000ALpRZIA1,RICHMOND HOUSING PARTNERSHIP LIMITED,7,13978.77,394.55
0016100001WowHQAAZ,Manchester University Hospitals NHS Foundation Trust (MFT),2,13932.29,3386.68
0018Y00002zJ1FvQAK,CALA GROUP (HOLDINGS) LIMITED,3,13878.6,5534.58
0016100001N1A5cAAF,The Pensions Regulator (TPR),18,13670.78,6495.94
001Vp00000WvvolIAB,Bakkavor Foods Limited,2,13442.28,1767.34
0013f000009dxZaAAI,SG Fleet,4,13421.29,109.03
001Vp00000IbkZXIAZ,Latus Group,3,13412.04,86.62
0014N00001nfk1lQAA,Together Financial Services Limited,5,13390.03,73.6
0018Y000032T1dZQAS,Montagu,4,13281.3,7917.35
0016100001SRVN5AAP,Crown Consulting,19,13266.51,3895.93
0016100001Qci5cAAB,Worldwide Clinical Trials,6,13260.3,4514.42
0018Y00002lqTPbQAM,Multiplex,3,13248.0,0.0
001Vp00000Q66NDIAZ,Clarion Events,4,13211.04,4662.06
0016100001H6kDNAAZ,Atto,1,13084.46,6385.6
0018Y00002frhyGQAQ,Barnet  Enfield and Haringey Mental Health NHS Trust,8,12799.26,1863.74
0014N00001g7yQ1QAI,L&Q,21,12705.69,3800.13
0014N00002D8OgVQAV,Northern Care Alliance NHS Foundation Trust,22,12565.24,5755.12
001Vp00000Isv3nIAB,Harbr Data LTD,4,12536.66,4737.16
0018Y0000348VWbQAM,Baker Ross,1,12493.62,8195.34
001Vp0000033enHIAQ,Leadway Assurance,3,12463.24,4957.17
0016100001cg8OfAAI,Deloitte Australia,11,12463.18,1342.19
0018Y0000347qw8QAA,InterGen,1,12424.56,4677.06
001Vp00000TtDqMIAV,Interbridge Mortgages Ltd,1,12388.02,3266.97
001Vp000004qA5wIAE,4most,6,12386.22,2589.35
0014N00001iH92bQAC,Coeo Limited,23,12317.88,4093.88
0018Y00002r5KLkQAM,Connected Kerb,3,12252.02,4717.27
001Vp00000Ph7hOIAR,BDR Group,1,12166.37,8099.34
0018Y00002nIOoUQAW,Nimbus Property Systems,5,11672.15,4034.38
0018Y00002yGyB2QAK,Nuclear AMRC,8,11557.3,5144.3
0018Y00002zJ1GUQA0,CIL MANAGEMENT CONSULTANTS LIMITED,3,11461.32,6371.79
001Vp000000xCq9IAE,The Law Society of England and Wales,4,11441.61,616.84
001Vp00000D9Y35IAF,Moody's Analytics - Asset Management Business Unit,3,11385.91,3734.59
0013f000009ekt9AAA,Sovereign Housing Association,10,11368.55,4768.62
001Vp00000KdN66IAF,razorbill.media,1,11283.02,8028.42
001Vp00000MMbnRIAT,GORE STREET CAPITAL LIMITED,3,11146.93,4417.36
0016100001Iuzm4AAB,The Body Shop,3,11107.57,5769.76
0018Y000031D0h1QAC,Raven Housing Trust,4,11015.5,3452.42
